Citation,PR.ID,Year,ES.ID,CHT.ID,Ecosystem_type,Longitude,Latitude,Study_design,Study,Continent,Region,Country,Climate,Source,Variable,Impact_type,Level_ecological_organization,Invader_1,Invader_2,Interacting_taxon,Trohic_level,nI1,mI1,sdI1,nI2,mI2,sdI2,nI1_I2,mI1_I2,sdI1_I2,nC,mC,sdC,num_shared_control,N_control_sc
Fryxell et al. 2016. Oecologia 182: 519–528,PUB07,2016,64,CHT11,Unknown,86.0474698,34.4140974,Experimental,Aquatic,Northern America,"Long Marine Laboratory in Santa Cruz, California, USA",USA,NA,Figure 3b,Gross primary production (GPP),Plant production,Community,Gambusia affinis,Procambarus clarkii,Animal-Animal,Consumer-Consumer,9,2.59,0.33,9,2.07,0.27,9,2.49,0.3,9,2.33,0.39,1,9
Tekiela and Barney. Biol Invasions 19:147–159,PUB08,2017,65,CHT12,Forest,-76.9773834,39.4366728,Experimental,Terrestrial,Northern America,"Liberty Reservoir, Baltimore, Maryland",United States of America,,Figure 5,Native plant richness,Plant richness,Community,Oplismenus undulatifolius,Microstegium vimineum,Plant-Plant,Producer-Producer,40,4.08,0.64,40,8.81,0.76,40,4.32,0.52,40,5.79,0.68,1,40
Tekiela and Barney. Biol Invasions 19:147–159,PUB08,2017,66,CHT12,Forest,-76.9773834,39.4366728,Experimental,Terrestrial,Northern America,"Liberty Reservoir, Baltimore, Maryland",United States of America,,Figure 5,Invasive plant richness,Plant richness,Community,Oplismenus undulatifolius,Microstegium vimineum,Plant-Plant,Producer-Producer,40,2.91,0.24,40,3.57,0.62,40,2.37,0.41,40,2.04,0.25,1,40
Tekiela and Barney. Biol Invasions 19:147–159,PUB08,2017,67,CHT12,Forest,-76.9773834,39.4366728,Experimental,Terrestrial,Northern America,"Liberty Reservoir, Baltimore, Maryland",United States of America,,Figure 5,Plant diversity,Plant diversity,Community,Oplismenus undulatifolius,Microstegium vimineum,Plant-Plant,Producer-Producer,40,1.66,0.17,40,2.06,0.16,40,1.66,0.17,40,2.01,0.06,1,40
Wei et al. 2020. Landscape and Ecological Engineering 16: 299–306,PUB09,2020,68,CHT13,Unknown,119.52,32.21,Experimental,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2a,Seedling height,Plant growth,Species,Solidago canadensis,Conyza canadensis,Plant-Plant,Producer-Producer,50,0.61,0.282842712,50,1.58,0.424264069,50,1.17,0.141421356,50,1.11,0.353553391,1,50
Wei et al. 2020. Landscape and Ecological Engineering 16: 299–306,PUB09,2020,69,CHT13,Unknown,119.52,32.21,Experimental,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2g,Seedling biomass (dry wt) g,Plant growth,Species,Solidago canadensis,Conyza canadensis,Plant-Plant,Producer-Producer,50,0.0116,0.005656854,50,0.0134,0.002828427,50,0.0118,0.002828427,50,0.0111,0.00212132,1,50
Wei et al. 2020. Landscape and Ecological Engineering 16: 299–306,PUB09,2020,70,CHT13,Unknown,119.52,32.21,Experimental,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2b,Root length (mm),Plant growth,Species,Solidago canadensis,Conyza canadensis,Plant-Plant,Producer-Producer,50,0.43,0.282842712,50,1.58,0.565685425,50,1.21,0.141421356,50,2.43,0.989949494,1,50
Wei et al. 2020. Landscape and Ecological Engineering 16: 299–306,PUB09,2020,71,CHT13,Unknown,119.52,32.21,Experimental,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2c,Leaf length (cm),Plant growth,Species,Solidago canadensis,Conyza canadensis,Plant-Plant,Producer-Producer,50,0.65,0.141421356,50,0.96,0.141421356,50,0.87,0.212132034,50,0.63,0.070710678,1,50
Wei et al. 2020. Landscape and Ecological Engineering 16: 299–306,PUB09,2020,72,CHT13,Unknown,119.52,32.21,Experimental,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2i,Germination percentage,Plant fitness,Species,Solidago canadensis,Conyza canadensis,Plant-Plant,Producer-Producer,50,0.75,0.282842712,50,0.9,0.141421356,50,0.79,0.212132034,50,0.97,0.070710678,1,50
Wei et al. 2020. Landscape and Ecological Engineering 16: 299–306,PUB09,2020,73,CHT13,Unknown,119.52,32.21,Experimental,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2d,Leaf width (cm),Plant growth,Species,Solidago canadensis,Conyza canadensis,Plant-Plant,Producer-Producer,50,0.35,0.141421356,50,0.4,0.141421356,50,0.39,0.141421356,50,0.31,0.028284271,1,50
Wei et al. 2020. Landscape and Ecological Engineering 16: 299–306,PUB09,2020,74,CHT13,Unknown,119.52,32.21,Experimental,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2j,Germination potential,Plant fitness,Species,Solidago canadensis,Conyza canadensis,Plant-Plant,Producer-Producer,50,0.71,0.296984848,50,0.835,0.212132034,50,0.772,0.176776695,50,0.93,0.049497475,1,50
Wei et al. 2020. Landscape and Ecological Engineering 16: 299–306,PUB09,2020,75,CHT13,Unknown,119.52,32.21,Experimental,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2f,Seedling biomass (fresh wt) g,Plant growth,Species,Solidago canadensis,Conyza canadensis,Plant-Plant,Producer-Producer,50,0.152,0.042426407,50,0.214,0.042426407,50,0.199,0.035355339,50,0.137,0.014142136,1,50
Wei et al. 2020. Landscape and Ecological Engineering 16: 299–306,PUB09,2020,76,CHT13,Unknown,119.52,32.21,Experimental,Terrestrial,Asia-Temperate,"Zhenjiang, China",China,Subtropical,Figure 2l,Germination rate index,Plant fitness,Species,Solidago canadensis,Conyza canadensis,Plant-Plant,Producer-Producer,50,26.25,18.52619767,50,35.87,5.868986284,50,29.25,15.90990258,50,42.25,2.61629509,1,50
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,77,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Text,Total above ground plant biomass (g/m2),Plant production,Community,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,735,421,25,1442,666,25,1507,647,25,357,301,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,78,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Text,Mean summed plant cover,Plant abundance,Community,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,99,39,25,105,14,25,105,8,25,58,53,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,79,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil pH (H2O),pH ,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,6.6,0.2,25,6.5,0.3,25,6.5,0.2,25,6.5,0.2,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,80,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil pH (H2O),pH ,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,6.6,0.2,25,6.5,0.3,25,6.5,0.2,25,5,0.1,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,81,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil pH (KCl),pH ,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,5.6,0.2,25,5.6,0.3,25,5.6,0.3,25,5.5,0.2,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,82,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil pH (KCl),pH ,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,5.6,0.2,25,5.6,0.3,25,5.6,0.3,25,4.2,0.1,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,83,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Nitrogen (dag/kg),N pools,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,0.4,0.1,25,0.4,0.1,25,0.4,0.1,25,0.4,0.1,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,84,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Nitrogen (dag/kg),N pools,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,0.4,0.1,25,0.4,0.1,25,0.4,0.1,25,0.2,0,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,85,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Phosphorous (dag/kg),P pools,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,1.3,1.6,25,1.3,1.6,25,1.3,1.6,25,0.4,0.5,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,86,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Phosphorous (dag/kg),P pools,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,1.3,1.6,25,1.3,1.6,25,1.3,1.6,25,0.1,0.3,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,87,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Potassium (dag/kg),Macronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,51.6,22.8,25,56.3,25.8,25,84.6,41.7,25,38.1,12.2,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,88,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Potassium (dag/kg),Macronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,51.6,22.8,25,56.3,25.8,25,84.6,41.7,25,23.2,7.2,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,89,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Calcium (cmolc/dm3),Macronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,6.8,1.3,25,7.9,2.3,25,7,2.3,25,7.4,1.9,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,90,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Calcium (cmolc/dm3),Macronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,6.8,1.3,25,7.9,2.3,25,7,2.3,25,0.2,0.1,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,91,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Magnesium (cmolc/dm3),Macronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,1.4,0.3,25,1.5,0.3,25,1.4,0.3,25,1.2,0.3,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,92,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Magnesium (cmolc/dm3),Macronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,1.4,0.3,25,1.5,0.3,25,1.4,0.3,25,0.1,0,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,93,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Cation exchange capacity (cmolc/dm3),Salinity,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,8.4,1.5,25,9.5,2.4,25,8.6,2.3,25,8.8,2,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,94,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Cation exchange capacity (cmolc/dm3),Salinity,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,8.4,1.5,25,9.5,2.4,25,8.6,2.3,25,0.9,0.3,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,95,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Organic matter content (dag/kg),Soil OM,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,10.1,2.7,25,10.4,2.6,25,9.9,2.1,25,9.8,2.3,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,96,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Organic matter content (dag/kg),Soil OM,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,10.1,2.7,25,10.4,2.6,25,9.9,2.1,25,5.7,0.9,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,97,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Sulphur (mg/dm3),Macronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,1.1,1.3,25,0.3,0.8,25,0.4,0.9,25,0.5,0.9,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,98,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Sulphur (mg/dm3),Macronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,1.1,1.3,25,0.3,0.8,25,0.4,0.9,25,0.3,1,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,99,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Boron (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,0.3,0.1,25,0.4,0.1,25,0.4,0.2,25,0.4,0.1,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,100,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Boron (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,0.3,0.1,25,0.4,0.1,25,0.4,0.2,25,0.4,0.2,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,101,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Copper (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,0.3,0,25,0.3,0,25,0.3,0,25,0.3,0.1,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,102,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Soil Copper (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,0.3,0,25,0.3,0,25,0.3,0,25,0.5,0,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,103,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Manganese (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,24,6.7,25,26,12.8,25,26.7,13.1,25,29.7,9.9,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,104,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Manganese (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,24,6.7,25,26,12.8,25,26.7,13.1,25,4.5,1.7,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,105,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Iron (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,17.7,4.4,25,16.5,4.2,25,18.8,3.3,25,18.4,3.9,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,106,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Iron (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,17.7,4.4,25,16.5,4.2,25,18.8,3.3,25,65.6,19.7,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,107,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Zinc (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,2.1,0.7,25,2.2,0.6,25,2.3,0.7,25,2,0.7,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,108,CHT15,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Zinc (mg/dm3),Micronutrients,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,2.1,0.7,25,2.2,0.6,25,2.3,0.7,25,0.7,0.5,1,25
Zenni et al. 2020. Functional Ecology 34: 1102–1112,PUB10,2020,109,CHT14,Forest,47.875692,15.942876,Experimental,Terrestrial,Southern America,"IBGE Ecological Reserve, Central Brazil",Brazil,NA,Table 1,Ammonium/nitrate (mg/dm3),N pools,Ecosystem,Urochloa decumbens,Melinis minutiflora,Plant-Plant,Producer-Producer,25,11.6,8.6,25,20.2,8.9,25,3.4,16.6,25,22.8,13.5,1,25
Cope et al. 2021. AoB PLANTS 13(1): plaa073,PUB11,2021,110,CHT16,Agricultural field,-81.4446709,41.4778671,Experimental,Terrestrial,Northern America,"Case Western Reserve University’s Squire Valleevue Farm,  Hunting Valley",USA,NA,Figure 3a,Podophyllum peltatum total biomass (g),Plant growth,Species,Alliaria petiolata ,Lumbricus terrestris,Plant-Animal,Producer-Consumer,6,18.68,3.110851973,6,18.41,11.14517833,6,26.25,19.84086692,6,24.5,6.417663126,1,6
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,111,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2a,Density of commercial bivalves (Fulvia tanulcostata) (alive),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,2.16,3.741229744,3,45.4,9.370394869,3,1.08,0.017320508,3,92.97,46.81733333,1,3
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,112,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2a,Density of commercial bivalves (Fulvia tanulcostata) (open),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,57.6,12.92109902,3,6.4,3.68926822,3,69.33,51.73635762,3,16,9.231830804,1,3
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,113,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2a,Density of commercial bivalves (Fulvia tanulcostata) (Hinged),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,23.46,9.249151312,3,52.26,13.28482969,3,38.4,9.231830804,3,14.9,3.741229744,1,3
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,114,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2a,Density of commercial bivalves (Katelysia rhytiphora) (alive),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,0.33,0.606217783,3,4.66,2.459512147,3,0.6,0.588897275,3,6.01,1.628127759,1,3
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,115,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2b,Density of other bivalves and echinoids (Echniocardium cordatum),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,36.48,22.23953237,3,60.13,11.70866346,3,52.7,31.59260673,3,58.78,55.00993365,1,3
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,116,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2b,Density of other bivalves and echinoids (Theora spp),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,68.91,44.94671846,3,85.94,39.2482713,3,69.73,47.73532026,3,64.86,58.97633,1,3
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,117,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2b,Density of other bivalves and echinoids (Wallucina assimilis),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,0.64,0.658179307,3,1.29,0.658179307,3,2.7,2.061140461,3,4.64,4.58993464,1,3
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,118,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2c,Density of polychaetes (Siplisetia amphidonta),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,368.92,294.916291,3,247.3,224.6989513,3,247.3,280.869359,3,304.05,344.0718929,1,3
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,119,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2c,Density of polychaetes (Lysilla jennacubinae),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,107.28,44.80815439,3,99.86,40.92836058,3,94.49,31.62724775,3,76.24,79.95146528,1,3
Ross et al. 2004. Marine Biology 144: 747–756,PUB12,2004,120,CHT17,Coastal,147.8245785,-42.9499991,Experimental,Aquatic,Australia,"King George Sound, south-east Tasmania",Australia,NA,Figure 2c,Density of polychaetes (Glucera spp),Animal abundance,Community,Asterias amurensis,Carcinus maenas,Animal-Animal,Consumer-Consumer,3,160.47,58.52599679,3,106.42,87.76301442,3,202.7,46.81733333,3,138.51,23.41732692,1,3
Nystrom et al. 2001. Ecology 82(4): 1023–1039,PUB13,2001,121,CHT18,Pond,13.83336111,55.83336111,Experimental,Aquatic,Europe,Southern Sweden,Sweden,Tropical,Figure 2b,Total biomass of snails (May),Animal production,Community,Pacifastacus leniusculus,Oncorhynchus mykiss,Animal-Animal,Consumer-Consumer,5,72.67,40.24922359,5,101.55,77.07726318,5,61.49,66.67954709,5,72.67,42.70889837,1,5
Nystrom et al. 2001. Ecology 82(4): 1023–1039,PUB13,2001,122,CHT18,Pond,13.83336111,55.83336111,Experimental,Aquatic,Europe,Southern Sweden,Sweden,Tropical,Figure 2c,Total biomass of  insect grazers (May),Animal production,Community,Pacifastacus leniusculus,Oncorhynchus mykiss,Animal-Animal,Consumer-Consumer,5,47.9,19.58795548,5,55.8,19.58795548,5,44.56,10.48715881,5,64.44,38.75105805,1,5
Nystrom et al. 2001. Ecology 82(4): 1023–1039,PUB13,2001,123,CHT19,Pond,13.83336111,55.83336111,Experimental,Aquatic,Europe,Southern Sweden,Sweden,Tropical,Figure 2c,Total biomass of  insect grazers (June),Animal production,Community,Pacifastacus leniusculus,Oncorhynchus mykiss,Animal-Animal,Consumer-Consumer,5,17.03,14.35555642,5,2.34,0.223606798,5,3.58,2.750363612,5,11.35,5.523087904,1,5
Nystrom et al. 2001. Ecology 82(4): 1023–1039,PUB13,2001,124,CHT20,Pond,13.83336111,55.83336111,Experimental,Aquatic,Europe,Southern Sweden,Sweden,Tropical,Figure 2c,Total biomass of  insect grazers (July),Animal production,Community,Pacifastacus leniusculus,Oncorhynchus mykiss,Animal-Animal,Consumer-Consumer,5,7.4,3.577708764,5,1.11,1.095673309,5,0.37,0.290688837,5,12.09,4.98643159,1,5
Nystrom et al. 2001. Ecology 82(4): 1023–1039,PUB13,2001,125,CHT19,Pond,13.83336111,55.83336111,Experimental,Aquatic,Europe,Southern Sweden,Sweden,Tropical,Figure 3,Number of tadpoles (CPUE) catch per unit effort,Animal richness,Community,Pacifastacus leniusculus,Oncorhynchus mykiss,Animal-Animal,Consumer-Consumer,5,21.37,8.877189871,5,0.24,0.313049517,5,0.04,0.002236068,5,16.35,18.85005305,1,5
Nystrom et al. 2001. Ecology 82(4): 1023–1039,PUB13,2001,126,CHT18,Pond,13.83336111,55.83336111,Experimental,Aquatic,Europe,Southern Sweden,Sweden,Tropical,Figure 4a,Macrophyte coverage (%) (May),Plant abundance,Community,Pacifastacus leniusculus,Oncorhynchus mykiss,Animal-Animal,Consumer-Consumer,5,23.05,5.120595668,5,31.08,18.80533169,5,17.83,7.267220927,5,28.91,9.97286318,1,5
Nystrom et al. 2001. Ecology 82(4): 1023–1039,PUB13,2001,127,CHT19,Pond,13.83336111,55.83336111,Experimental,Aquatic,Europe,Southern Sweden,Sweden,Tropical,Figure 4a,Macrophyte coverage (%) (June),Plant abundance,Community,Pacifastacus leniusculus,Oncorhynchus mykiss,Animal-Animal,Consumer-Consumer,5,7.07,4.114365079,5,42.16,18.08978994,5,5.09,2.839806331,5,41.14,27.61543952,1,5
